source,target,weight,community
Tanjiro,Shinobu,39,0
Tanjiro,Nezuko,55,0
Tanjiro,Mitsuri,10,0
Tanjiro,Giyu,5,0
Tanjiro,Gyomei,6,0
Tanjiro,Kakushi,11,0
Tanjiro,Sanemi,22,0
Tanjiro,Sakonji,10,0
Tanjiro,Muzan,11,0
Tanjiro,Tengen,17,0
Tanjiro,Muichiro,5,0
Tanjiro,Obanai,5,0
Tanjiro,Kagaya,18,0
Tanjiro,Tamayo,5,0
Tanjiro,Zenitsu,16,0
Tanjiro,Inosuke,45,0
Tanjiro,Murata,5,0
Tanjiro,Kanao,60,0
Tanjiro,Aoi,5,0
Tanjiro,Kiyo,11,0
Tanjiro,Naho,11,0
Tanjiro,Haganezuka,16,0
Tanjiro,Kanamori,12,0
Tanjiro,Kasugai,5,0
Shinobu,Giyu,5,0
Shinobu,Kakushi,6,0
Shinobu,Sanemi,6,0
Shinobu,Kanao,18,0
Shinobu,Zenitsu,16,0
Shinobu,Tamayo,5,0
Shinobu,Inosuke,16,0
Shinobu,Kasugai,6,0
Nezuko,Zenitsu,11,1
Nezuko,Tengen,6,1
Nezuko,Muichiro,6,1
Nezuko,Mitsuri,10,1
Nezuko,Kakushi,5,1
Nezuko,Sanemi,43,1
Nezuko,Giyu,11,1
Nezuko,Kyojuro,5,1
Nezuko,Sakonji,11,1
Nezuko,Muzan,6,1
Nezuko,Kagaya,6,1
Zenitsu,Murata,6,0
Zenitsu,Kakushi,5,0
Zenitsu,Aoi,11,0
Zenitsu,Inosuke,51,0
Zenitsu,Kanao,6,0
Zenitsu,Kanamori,5,0
Murata,Giyu,4,0
Murata,Inosuke,5,0
Giyu,Mitsuri,5,1
Giyu,Obanai,12,1
Giyu,Sanemi,12,1
Giyu,Muichiro,5,1
Giyu,Sakonji,5,1
Mitsuri,Obanai,6,1
Mitsuri,Muichiro,12,1
Mitsuri,Kakushi,6,1
Mitsuri,Sanemi,5,1
Mitsuri,Tengen,17,1
Obanai,Kyojuro,6,1
Obanai,Sanemi,6,1
Gyomei,Tengen,11,1
Gyomei,Sanemi,5,1
Tengen,Muzan,5,1
Muichiro,Sanemi,5,1
Kakushi,Kagaya,10,0
Kakushi,Tamayo,6,0
Kakushi,Kanao,5,0
Kakushi,Inosuke,5,0
Sanemi,Kyojuro,6,1
Sanemi,Muzan,5,1
Sanemi,Sakonji,6,1
Sanemi,Kagaya,5,1
Kyojuro,Sakonji,6,1
Sakonji,Haganezuka,6,1
Muzan,Rui,5,2
Muzan,Kagaya,6,2
Muzan,Tamayo,5,2
Kagaya,Tamayo,17,2
Tamayo,Haganezuka,5,2
Kanao,Inosuke,6,0
Kanao,Kiyo,11,0
Aoi,Inosuke,6,0
Inosuke,Haganezuka,12,0
Inosuke,Kanamori,12,0
Kiyo,Naho,6,3
Kiyo,Sumi,6,3
Haganezuka,Kanamori,6,0
Naho,Sumi,6,3
